公司 company
学位 degree
职位 job
学校 school
/*
说明
每行为图中的一条边，格式如下
实体1||实体2||关系

实体中格式为
类型::值
人::73||公司::本真幼稚园||任职
人::73||学位::北京师范继续教育学院||就读
人::73||学位::本科||拥有
人::73||职位::幼教 ; ||担任
人::74||公司::大河报||任职
人::74||学位::海南琼海师范||就读
人::74||学位::大专||拥有
人::74||职位::印刷排版制版 ; ||担任
人::75||公司::小鬼当佳||任职
人::75||公司::洛奇科技有限公司||任职
人::75||学位::天津师范大学||就读
人::75||学位::其他||拥有
人::75||职位:: ; ||担任
人::75||职位:: ; ||担任
人::76||公司::北京京唐兴业投资顾问有限公司||任职
人::76||公司::北京慧诚智会计事务所||任职
人::76||公司::萍乡市粮油商厦公司||任职
人::76||学位::江西财经大学||就读
人::76||学位::江西工业工程职业技术学院||就读
人::76||学位::本科||拥有
人::76||学位::大专||拥有
人::76||职位::会计 ; ||担任
人::76||职位::财务会计助理 ; ||担任
人::76||职位::出纳员 ; ||担任
人::77||公司::方正科技||任职
人::77||公司::太原西南证券||任职
人::77||公司::太原卓远贸易公司||任职
人::77||学位::西安思源学院||就读
人::77||学位::大专||拥有
人::77||职位::售后技术支持客服 ; ||担任
人::77||职位::客户经理 ; ||担任
人::77||职位::业务出差员 ; ||担任
人::78||公司::科传||任职
人::78||公司::北京中创佳和科技有限公司||任职
人::78||学位::河北软件学院||就读
人::78||学位::大专||拥有
人::78||职位::技术支持维护工程师 ; ||担任
人::78||职位::软件工程师 ; ||担任
人::79||公司::北京神州星港科技有限公司||任职
人::79||公司::丁家宜||任职
人::79||公司::perlos||任职
人::79||公司::艾科泰||任职
人::79||学位::华北电力大学成人教育学院||就读
人::79||学位::北京八一机械化学校||就读
人::79||学位::大专||拥有
人::79||学位::中专||拥有
人::79||职位::车间主任 ; ||担任
人::79||职位::行政助理 ; ||担任
人::79||职位::注塑技师 ; ||担任
人::79||职位::库房管理员 ; ||担任
人::80||公司::土豆网||任职
人::80||学位::黑龙江财经学院||就读
人::80||学位::本科||拥有
人::80||职位::无线商务助理 ; ||担任
人::81||公司::北京时代年华汽车销售有限公司||任职
人::81||学位::开封大学||就读
人::81||学位::大专||拥有
人::81||职位::客户代表 ; ||担任
人::82||公司::二手车汽车公司||任职
人::82||公司::人力资源的招聘专员||任职
人::82||公司::广告制作公司||任职
人::82||学位::周口职业中专||就读
人::82||学位::中专||拥有
人::82||职位::行政前台兼出纳收银 ; ||担任
人::82||职位::其他 ; ||担任
人::82||职位::广告学徒兼文员 ; ||担任
人::83||公司::北京中加诚信管道技术有限公司||任职
人::83||公司::上海泓智信
